Time,m5time,accNorm,accX,accY,accZ
2025-01-14 14:48:05.494,1990.385009765625,0.7054426053169228,-0.37702640891075134,0.14462052285671234,0.5784334540367126
2025-01-14 14:48:05.556,1990.447998046875,0.693387834105832,0.08806932717561722,-0.4817184507846832,0.4908949136734009
2025-01-14 14:48:05.622,1990.511962890625,0.7476230225319354,0.07116690278053284,-0.3016652464866638,0.6803480982780457
2025-01-14 14:48:05.690,1990.5770263671875,0.7912179148569213,0.03943889960646629,-0.20361675322055817,0.7635512948036194
2025-01-14 14:48:05.747,1990.6390380859375,0.8209344435597626,0.047046151012182236,-0.1466137170791626,0.8063649535179138
2025-01-14 14:48:05.894,1990.7030029296875,0.8398542507076954,0.06739017367362976,-0.10121195763349533,0.831005334854126
2025-01-14 14:48:05.952,1990.8270263671875,0.8691028345779883,0.028772607445716858,-0.054429106414318085,0.8669194579124451
2025-01-14 14:48:06.009,1990.8890380859375,0.8768625270338183,0.03234821557998657,-0.0094505799934268,0.8762146830558777
2025-01-14 14:48:06.098,1990.9510498046875,0.8838669839276007,0.03625846281647682,0.0021453332155942917,0.8831203579902649
2025-01-14 14:48:06.199,1991.012939453125,0.8991872073719696,0.042190298438072205,0.015938935801386833,0.8980554342269897
2025-01-14 14:48:06.249,1991.136962890625,0.9103542245510184,0.0751466304063797,0.04704541340470314,0.9060267806053162
2025-01-14 14:48:06.310,1991.198974609375,0.9201069053485668,0.08360069245100021,0.07458023726940155,0.9132608771324158
2025-01-14 14:48:06.399,1991.260986328125,0.9212733906870509,0.09145718067884445,0.07536108791828156,0.9136196970939636
2025-01-14 14:48:06.447,1991.322998046875,0.9240392471735099,0.10045107454061508,0.09228984266519547,0.9139150381088257
2025-01-14 14:48:06.499,1991.385009765625,0.9346022853186992,0.0947180837392807,0.09664778411388397,0.9247535467147827
2025-01-14 14:48:06.604,1991.447998046875,0.9410360044126139,0.08942624181509018,0.10679791122674942,0.9306696057319641
2025-01-14 14:48:06.706,1991.510009765625,0.9473724502257427,0.09438490122556686,0.10864809155464172,0.9363768696784973
2025-01-14 14:48:06.807,1991.634033203125,0.9495840638234481,0.09066427499055862,0.09854800254106522,0.9400947690010071
2025-01-14 14:48:06.912,1991.758056640625,0.965575014907967,0.15177129209041595,0.1282319873571396,0.9449111819267273
2025-01-14 14:48:06.959,1991.8199462890625,0.9783184198952327,0.21122492849826813,0.1271248608827591,0.9467471837997437
2025-01-14 14:48:07.011,1991.8819580078125,0.9819292200699185,0.1954251229763031,0.11705628782510757,0.955139696598053
2025-01-14 14:48:07.115,1991.9439697265625,0.9863586161750598,0.18037743866443634,0.12024079263210297,0.9622418880462646
2025-01-14 14:48:07.218,1992.0679931640625,0.9783960682508637,0.14073103666305542,0.10582316666841507,0.9624214768409729
2025-01-14 14:48:07.268,1992.1300048828125,0.9793863984594622,0.10376037657260895,0.09605255722999573,0.9691261053085327
